dataset,model,model_raw,seed,stage,method,lambda_steck,F_in,InputGain,NDCG@10,Recall@10,F_out,Tail,Tail/Head,l_exp_mean,l_exp_median,l_exp_p90,l_exp_p95,n_users,E_out,T,checkpoint,delta_F_out_vs_lam0,RelativeUtilityLoss
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.0,0.6032541089172111,0.0,0.1369545934669168,0.1432855626326964,0.8710361218343863,0.0069532908704883,0.007160817754455,0.8848358119781925,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9710191082802547, 0.017887473460721868, 0.004140127388535032, 0.006953290870488323]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0,0.0
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.1,0.6032541089172111,0.0,0.1366717483012461,0.1429670912951167,0.8538917481613502,0.0101380042462845,0.0106282343776083,0.8635513349980851,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9538747346072187, 0.02537154989384289, 0.010615711252653927, 0.0101380042462845]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0171443736730361,0.0020652477475244
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.25,0.6032541089172111,0.0,0.1364450650701186,0.1430732484076433,0.8427452513460635,0.0135350318471337,0.0143572997015933,0.8503346149488337,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.942728237791932, 0.028715498938428875, 0.015021231422505308, 0.013535031847133758]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0282908704883227,0.0037204184532973
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.5,0.6032541089172111,0.0,0.134941457046851,0.1424363057324841,0.8250700921103947,0.0159766454352441,0.0172710580674776,0.8387624120379387,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9250530785562633, 0.03816348195329087, 0.020806794055201697, 0.01597664543524416]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0459660297239915,0.0146992982791196
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.75,0.6032541089172111,0.0,0.134059045969239,0.1411624203821656,0.8122781600509468,0.0186305732484076,0.0204224122883574,0.8353657607099602,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9122611464968153, 0.045806794055201695, 0.02330148619957537, 0.018630573248407643]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0587579617834395,0.0211423905133731
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,0.9,0.6032541089172111,0.0,0.1340048687414836,0.1411624203821656,0.8083503468874648,0.0187367303609341,0.0206275930579091,0.8353657516794112,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9083333333333333, 0.04883227176220807, 0.024097664543524418, 0.018736730360934182]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0626857749469215,0.0215379758412096
lastfm,lightgcn,weighted_lightgcn,0,POST_LEARNING,steck_catalog,1.0,0.6032541089172111,0.0,0.1339903198822276,0.1411624203821656,0.8052717906241951,0.0188428874734607,0.0208150102609205,0.8353657516794112,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9052547770700637, 0.05180467091295117, 0.024097664543524418, 0.01884288747346072]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-50-41.pth,0.0657643312101912,0.0216442071028839
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.0,0.602904152661743,0.0,0.1303208937002494,0.1376503892427459,0.8720976929596516,0.0077494692144373,0.0079720432456044,0.884676633502879,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9720806794055201, 0.015498938428874735, 0.004670912951167728, 0.007749469214437367]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0,0.0
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.1,0.602904152661743,0.0,0.1303747894106075,0.1375442321302193,0.8564395188619871,0.0106687898089171,0.0111548920583828,0.865356114277623,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9564225053078557, 0.022292993630573247, 0.010615711252653927, 0.010668789808917197]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0156581740976644,-0.0004135615466393
lastfm,lightgcn,weighted_lightgcn,1,POST_LEARNING,steck_catalog,0.25,0.602904152661743,0.0,0.1298559701608928,0.1368011323425336,0.8461422789469126,0.0133227176220806,0.0140813464235624,0.8539440711616886,0.9000170135541314,0.9000170135541314,0.9000170135541314,1884,"[0.9461252653927813, 0.026167728237791933, 0.014384288747346072, 0.01332271762208068]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]",checkpoints/LightGCN-Aug-13-2026_12-51-28.pth,0.0259554140127389,0.0035675287834197
