intervention_family,n,mean_InputGain,mean_OutputGain,median_realization_ratio,attenuation_rate,reversal_rate,mean_relative_NDCG_loss,mean_Recall_change
minimum-perturbation KL,120,0.24476149809222225,0.06157479378150657,0.09584979443614852,0.9916666666666667,0.13333333333333333,0.08817207233221902,-0.01272464899065901
inverse-power,120,0.19971078422092695,0.06127319737999404,0.13987481184621153,0.9833333333333333,0.10833333333333334,0.07561885532075721,-0.011537465661239596
