run_path,dataset,model,seed,label,family,strength,NDCG@10,Recall@10,ExpDev,Tail,Tail/Head,l_exp_mean,l_exp_median,l_exp_p90,l_exp_p95,l_exp_frac_gt_tau,l_exp_tau,worst_group_ndcg,ndcg_gap,F_in,F_in_L2,F_in_JS,F_out,F_out_from_eval_catalog,F_out_L2,F_out_JS,q_in,E_out,T,M,phi,cal_mode_resolved,q_in_Head,E_out_Head,T_Head,q_in_UpperMid,E_out_UpperMid,T_UpperMid,q_in_LowerMid,E_out_LowerMid,T_LowerMid,q_in_Tail,E_out_Tail,T_Tail,l_exp_all_mean,l_exp_mean__semi_niche,l_exp_p90__semi_niche,l_exp_frac_gt_tau__semi_niche,n__semi_niche,l_exp_mean__niche,l_exp_p90__niche,l_exp_frac_gt_tau__niche,n__niche,l_exp_mean__mainstream,l_exp_p90__mainstream,l_exp_frac_gt_tau__mainstream,n__mainstream,l_exp_mean__semi_mainstream,l_exp_p90__semi_mainstream,l_exp_frac_gt_tau__semi_mainstream,n__semi_mainstream,F_in_0,F_out_0,U_0,InputGain,OutputGain,UtilityChange,RelativeUtilityLoss,regime
lastfm/weighted_bpr/seed_0/baseline,lastfm,weighted_bpr,0,baseline,baseline,0.0,0.1433854467937328,0.15314932767161904,0.4358630715329044,0.004777070063694267,0.004916152291468147,0.8851542080611978,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9989384288747346,0.2,0.07016280107126009,0.19308019060515197,0.6032541089172111,0.7257680495667904,0.23000558408121208,0.8717261430658088,0.8717261430658088,1.0178363421369063,0.4692575389901179,"[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.9717091295116773, 0.018152866242038216, 0.005360934182590233, 0.004777070063694267]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[1.0, 1.0, 1.0, 1.0]",baseline,0.7032370953630797,0.9717091295116773,0.09998298644586855,0.15142337976983647,0.018152866242038216,0.20002268473884194,0.08030150077394171,0.005360934182590233,0.3000056711847105,0.0650380240931422,0.004777070063694267,0.399988657630579,0.8851542080611978,0.9000170135541318,0.9000170135541314,1.0,473,0.8397986790408258,0.9000170135541314,0.9956989247311828,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.0,0.0,0.0,0.0,BASELINE
lastfm/weighted_bpr/seed_0/kl_lam0.1,lastfm,weighted_bpr,0,kl_lam0.1,kl,0.1,0.11851700433102202,0.12670736022646772,0.3933471479660254,0.022876857749469213,0.02580065848545429,0.8253854810206159,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9893842887473461,0.2,0.02978659076361802,0.22758521311130211,0.09647563643166193,0.11166247102994126,0.009419474777026182,0.7866942959320508,0.7866942959320508,0.9246242013972237,0.36883101076288394,"[0.19645862287753052, 0.17384007159681208, 0.2632978749606655, 0.36640343056499197]","[0.8866772823779193, 0.06576433121019108, 0.024681528662420384, 0.022876857749469213]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.10807142963741749, 0.44411815752460543, 1.2684263770945992, 2.179384035743378]",kl_projection,0.19645862287753052,0.8866772823779193,0.09998298644586855,0.17384007159681208,0.06576433121019108,0.20002268473884194,0.2632978749606655,0.024681528662420384,0.3000056711847105,0.36640343056499197,0.022876857749469213,0.399988657630579,0.8253854810206159,0.8767605761300197,0.9000170135541314,0.9978858350951374,473,0.6232309410080925,0.9000170135541314,0.9591397849462365,465,0.899171371571826,0.9000170135541314,1.0,473,0.8989599311017004,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.5067784724855492,0.085031847133758,-0.024868442462710777,0.17343770249211754,B_ATTENUATED
lastfm/weighted_bpr/seed_0/kl_lam0.5,lastfm,weighted_bpr,0,kl_lam0.5,kl,0.5,0.1270723798816014,0.13612880396319785,0.41834714796602535,0.014118895966029724,0.015073383577929167,0.854421146029635,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9909766454352441,0.2,0.04237938156036329,0.2151459203463364,0.2157522024757692,0.25206595940413873,0.03705242097453204,0.8366942959320507,0.8366942959320507,0.9787572583920757,0.4198020916449994,"[0.31573518892163777, 0.15939728500721181, 0.21119459314447422, 0.3136729329266762]","[0.9366772823779194, 0.03540339702760085, 0.013800424628450107, 0.014118895966029724]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.20055636854580036, 0.4702223051247281, 1.1748282342712575, 2.154393092058214]",kl_projection,0.31573518892163777,0.9366772823779194,0.09998298644586855,0.15939728500721181,0.03540339702760085,0.20002268473884194,0.21119459314447422,0.013800424628450107,0.3000056711847105,0.3136729329266762,0.014118895966029724,0.399988657630579,0.854421146029635,0.8974800156682965,0.9000170135541314,1.0,473,0.717860853519397,0.9000170135541314,0.9634408602150538,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.3875019064414419,0.035031847133758065,-0.016313066912131413,0.11377072971428252,B_ATTENUATED
lastfm/weighted_bpr/seed_0/kl_lam2.0,lastfm,weighted_bpr,0,kl_lam2.0,kl,2.0,0.13840086330749785,0.15074309978768416,0.4300244303439448,0.006528662420382166,0.006800464421953441,0.8753344192869408,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9994692144373672,0.2,0.06389051181561377,0.1969539455362922,0.4355284528727479,0.5273996510719782,0.12671815960553495,0.8600488606878895,0.8600488606878895,1.005149459105647,0.4528256350235544,"[0.5355114393186164, 0.17536458866350324, 0.1361042858925785, 0.15301968612530184]","[0.960031847133758, 0.025796178343949046, 0.007643312101910828, 0.006528662420382166]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.5104459301969858, 0.7763038321381786, 1.136137523953108, 1.5771127137117271]",kl_projection,0.5355114393186164,0.960031847133758,0.09998298644586855,0.17536458866350324,0.025796178343949046,0.20002268473884194,0.1361042858925785,0.007643312101910828,0.3000056711847105,0.15301968612530184,0.006528662420382166,0.399988657630579,0.8753344192869408,0.8998055970636454,0.9000170135541314,1.0,473,0.8002277498995347,0.9000170135541314,0.9978494623655914,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.1677256560444632,0.011677282377919207,-0.004984583486234956,0.034763524455906115,B_ATTENUATED
lastfm/weighted_bpr/seed_0/kl_lam8.0,lastfm,weighted_bpr,0,kl_lam8.0,kl,8.0,0.14306466020658395,0.15261854210898637,0.4342972541231379,0.004936305732484076,0.005096448925904427,0.8835617520372618,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9994692144373672,0.2,0.07073724699495108,0.19354071467590295,0.5640463446269299,0.6820234995674717,0.2047378772328601,0.8685945082462758,0.8685945082462758,1.014498944588351,0.4649932428098434,"[0.6640293310727985, 0.16343380705668634, 0.0935627971687406, 0.0789740647017745]","[0.9685774946921444, 0.02054140127388535, 0.0059447983014862, 0.004936305732484076]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.8578246166995808, 0.9805324595468826, 1.05850410903867, 1.1031388147148666]",kl_projection,0.6640293310727985,0.9685774946921444,0.09998298644586855,0.16343380705668634,0.02054140127388535,0.20002268473884194,0.0935627971687406,0.0059447983014862,0.3000056711847105,0.0789740647017745,0.004936305732484076,0.399988657630579,0.8835617520372618,0.9000170135541318,0.9000170135541314,1.0,473,0.8333466636664271,0.9000170135541314,0.9978494623655914,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.039207764290281166,0.0031316348195329358,-0.0003207865871488469,0.0022372325387409408,B_ATTENUATED
lastfm/weighted_bpr/seed_0/legacy_a0.1,lastfm,weighted_bpr,0,legacy_a0.1,legacy,0.1,0.14469033042071802,0.154821302193912,0.43302336877281944,0.005095541401273885,0.005274725274719815,0.8816508638081249,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9989384288747346,0.2,0.07153200710290691,0.1970336434532295,0.5401316419454345,0.6560389922196911,0.1910571556909459,0.8660467375456389,0.8660467375456389,1.0118049314181479,0.46177690525679,"[0.6401146283913031, 0.17224836639495833, 0.10135327468256732, 0.08628373053117139]","[0.9660297239915074, 0.022664543524416134, 0.006210191082802548, 0.005095541401273885]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.8227775583865387, 1.0282261229124607, 1.140881610874551, 1.1991900936072342]",legacy_inverse_power,0.6401146283913031,0.9660297239915074,0.09998298644586855,0.17224836639495833,0.022664543524416134,0.20002268473884194,0.10135327468256732,0.006210191082802548,0.3000056711847105,0.08628373053117139,0.005095541401273885,0.399988657630579,0.8816508638081249,0.8998055970636454,0.9000170135541314,1.0,473,0.8258195380240738,0.9000170135541314,0.9956989247311828,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.06312246697177659,0.005679405520169878,0.0013048836269852204,0.0,B_ATTENUATED
lastfm/weighted_bpr/seed_0/legacy_a0.2,lastfm,weighted_bpr,0,legacy_a0.2,legacy,0.2,0.1416289072014921,0.15217622080679247,0.43023674456899774,0.005626326963906581,0.005857971815412524,0.8769797943274428,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9978768577494692,0.2,0.06661345403011928,0.19926805309853632,0.4706970075875144,0.5788056750041469,0.1526618039150328,0.8604734891379955,0.8604734891379955,1.00582126669781,0.4544341936382087,"[0.570679994033383, 0.1919093804088556, 0.12529415844804861, 0.11211646710971283]","[0.9604564755838642, 0.02659235668789809, 0.00732484076433121, 0.005626326963906581]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.6769629105845141, 1.0572489598395909, 1.3016108500317103, 1.4380568806057272]",legacy_inverse_power,0.570679994033383,0.9604564755838642,0.09998298644586855,0.1919093804088556,0.02659235668789809,0.20002268473884194,0.12529415844804861,0.00732484076433121,0.3000056711847105,0.11211646710971283,0.005626326963906581,0.399988657630579,0.8769797943274428,0.8998055970636454,0.9000170135541314,1.0,473,0.8068941726442784,0.9000170135541314,0.9913978494623656,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.13255710132969667,0.011252653927813272,-0.0017565395922407023,0.01225047333267771,B_ATTENUATED
lastfm/weighted_bpr/seed_0/legacy_a0.4,lastfm,weighted_bpr,0,legacy_a0.4,legacy,0.4,0.134373098440906,0.14479830148619827,0.4230711394734563,0.006953290870488323,0.007349228611492934,0.8666290363693919,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9968152866242038,0.2,0.055566043141291675,0.20313308376016367,0.344985954584635,0.4116662192014376,0.08396282562574908,0.8461422789469126,0.8461422789469126,0.9908249843313461,0.43929295937807844,"[0.42289280830974857, 0.22209881745959686, 0.17851912931579342, 0.17648924491486107]","[0.9461252653927813, 0.03922505307855626, 0.007696390658174098, 0.006953290870488323]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.4582787823070568, 1.117775363081897, 1.6941908049202714, 2.068007591857475]",legacy_inverse_power,0.42289280830974857,0.9461252653927813,0.09998298644586855,0.22209881745959686,0.03922505307855626,0.20002268473884194,0.17851912931579342,0.007696390658174098,0.3000056711847105,0.17648924491486107,0.006953290870488323,0.399988657630579,0.8666290363693919,0.8983256816302415,0.9000170135541314,1.0,473,0.7664622844873583,0.9000170135541314,0.9870967741935484,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.2582681543325761,0.025583864118896127,-0.009012348352826799,0.06285399637378483,B_ATTENUATED
lastfm/weighted_bpr/seed_0/legacy_a0.8,lastfm,weighted_bpr,0,legacy_a0.8,legacy,0.8,0.11643252067196938,0.12495576786977988,0.3800775089002079,0.014543524416135881,0.016908361616765285,0.8259678912211386,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9941613588110403,0.2,0.027709638912909545,0.22817499019734758,0.09843054717587538,0.10926250033130547,0.007536289477072088,0.7601550178004158,0.7601550178004158,0.901651142214027,0.3636967435748092,"[0.1746780125145955, 0.22375820584599035, 0.2725996363310996, 0.32896414530831447]","[0.8601380042462845, 0.10313163481953291, 0.022186836518046708, 0.014543524416135881]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7032370953630797, 0.15142337976983647, 0.08030150077394171, 0.0650380240931422]","[0.2100194423128388, 1.2494217623128665, 2.870282483476397, 4.276655399980153]",legacy_inverse_power,0.1746780125145955,0.8601380042462845,0.09998298644586855,0.22375820584599035,0.10313163481953291,0.20002268473884194,0.2725996363310996,0.022186836518046708,0.3000056711847105,0.32896414530831447,0.014543524416135881,0.399988657630579,0.8259678912211386,0.8634402821252531,0.9000170135541314,0.9978858350951374,473,0.6408605809366479,0.9000170135541314,0.978494623655914,465,0.8989599550813397,0.9000170135541314,1.0,473,0.8974799677090178,0.9000170135541314,1.0,473,0.6032541089172111,0.8717261430658088,0.1433854467937328,0.5048235617413357,0.11157112526539292,-0.02695292612176342,0.187975326118951,B_ATTENUATED
lastfm/weighted_bpr/seed_1/baseline,lastfm,weighted_bpr,1,baseline,baseline,0.0,0.14984401607019632,0.15702406227883767,0.43525266813587676,0.005626326963906581,0.0057974185079791496,0.8836148366138911,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9973460721868365,0.2,0.08285174238940717,0.18602898122253148,0.602904152661743,0.7258632234321333,0.23046121846949302,0.8705053362717535,0.8705053362717535,1.0162199875045155,0.4658920031746946,"[0.7028871391076116, 0.1526482266639747, 0.08069183659734841, 0.06377279763106534]","[0.9704883227176221, 0.016932059447983015, 0.006953290870488323, 0.005626326963906581]","[0.09998298644586855, 0.20002268473884194, 0.3000056711847105, 0.399988657630579]","[0.7028871391076116, 0.1526482266639747, 0.08069183659734841, 0.06377279763106534]","[1.0, 1.0, 1.0, 1.0]",baseline,0.7028871391076116,0.9704883227176221,0.09998298644586855,0.1526482266639747,0.016932059447983015,0.20002268473884194,0.08069183659734841,0.006953290870488323,0.3000056711847105,0.06377279763106534,0.005626326963906581,0.399988657630579,0.8836148366138911,0.9000170135541318,0.9000170135541314,1.0,473,0.8335617418220603,0.9000170135541314,0.989247311827957,465,0.9000170135541318,0.9000170135541314,1.0,473,0.9000170135541318,0.9000170135541314,1.0,473,0.602904152661743,0.8705053362717535,0.14984401607019632,0.0,0.0,0.0,0.0,BASELINE
