dataset,dataset_name,model,model_raw,seed,intervention_family,intervention_family_code,intervention_parameter,label,configuration_type,F_in_baseline,F_in_intervention,F_out_baseline,F_out_intervention,InputGain,OutputGain,realization_ratio,attenuated_frozen,reversed_frozen,NDCG10_baseline,NDCG10_intervention,relative_NDCG_loss,Recall10_baseline,Recall10_intervention,evidence_tier
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6033079483411292,0.215484086133095,0.8697622364840677,0.8303779477367217,0.3878238622080342,0.039384288747346,0.1015519997225434,True,False,0.1487340695546166,0.1277338750300619,0.1411928994307738,0.1542728237791916,0.131679051663127,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6033079483411292,0.4354287620390172,0.8697622364840677,0.8575541685435157,0.1678791863021119,0.0122080679405519,0.07271936569064918,True,False,0.1487340695546166,0.1427654709296646,0.0401293304407314,0.1542728237791916,0.1486907289455044,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6033079483411292,0.5641472647714693,0.8697622364840677,0.8656221090955327,0.0391606835696599,0.0041401273885349,0.10572153014567146,True,False,0.1487340695546166,0.1474596286289907,0.0085685877448398,0.1542728237791916,0.1531050955413997,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6033079483411292,0.5402724050551676,0.8697622364840677,0.8633397311762122,0.0630355432859616,0.0064225053078554,0.10188704614981452,True,False,0.1487340695546166,0.1471696775384338,0.0105180475520325,0.1542728237791916,0.1527866242038201,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6033079483411292,0.4709132814066078,0.8697622364840677,0.8573949328747259,0.1323946669345214,0.0123673036093417,0.09341240017967048,True,False,0.1487340695546166,0.14507355260356,0.0246111530600755,0.1542728237791916,0.1499203821656035,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6033079483411292,0.3461926610614728,0.8697622364840677,0.8406751876517959,0.2571152872796564,0.0290870488322717,0.11312843020739803,True,False,0.1487340695546166,0.1377569408992449,0.0738037269352114,0.1542728237791916,0.1436748053786257,PRIMARY
lastfm,LastFM,BPR,weighted_bpr,2,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6033079483411292,0.0989226070934196,0.8697622364840677,0.7461422789469127,0.5043853412477096,0.123619957537155,0.24509030581926405,True,False,0.1487340695546166,0.1151944656966473,0.2255004785279087,0.1542728237791916,0.1208244869072887,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6032541089172111,0.0964756364316619,0.5819172258683565,0.2166836802207981,0.5067784724855492,0.3652335456475584,0.7206966465174249,True,False,0.1702847354481083,0.1082055963009014,0.364560798616765,0.1671797593772099,0.1075106157112524,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6032541089172111,0.2157522024757692,0.5819172258683565,0.350919349010607,0.3875019064414419,0.2309978768577494,0.596120620357921,True,False,0.1702847354481083,0.135159700835921,0.2062723621101735,0.1671797593772099,0.1349168435951868,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6032541089172111,0.4355284528727479,0.5819172258683565,0.4984777354224967,0.1677256560444632,0.0834394904458598,0.49747601180191786,True,False,0.1702847354481083,0.1599866445024299,0.0604757139186829,0.1671797593772099,0.1582979476291563,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6032541089172111,0.5640463446269299,0.5819172258683565,0.5603142534692058,0.0392077642902811,0.0216029723991506,0.5509871014120943,True,False,0.1702847354481083,0.1673730828521019,0.0170987293038588,0.1671797593772099,0.1646319886765729,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6032541089172111,0.5401316419454345,0.5819172258683565,0.5458768861655965,0.0631224669717765,0.0360403397027599,0.5709589854730229,True,False,0.1702847354481083,0.1660775068191786,0.0247070215533898,0.1671797593772099,0.163464260438781,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6032541089172111,0.4706970075875144,0.5819172258683565,0.502883255592348,0.1325571013296966,0.0790339702760084,0.5962258489602512,True,False,0.1702847354481083,0.1608147859537402,0.0556124391857421,0.1671797593772099,0.1588287331917889,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6032541089172111,0.344985954584635,0.5819172258683565,0.3757070347855539,0.2582681543325761,0.2062101910828025,0.7984344473893683,True,False,0.1702847354481083,0.1426011032194648,0.1625726002732621,0.1671797593772099,0.1408351026185411,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,0,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6032541089172111,0.0984305471758753,0.5819172258683565,0.13733123860721,0.5048235617413357,0.4445859872611464,0.8806759845511051,True,False,0.1702847354481083,0.0917743310352029,0.4610536828583217,0.1671797593772099,0.0909501061571124,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.602904152661743,0.0963935595894326,0.5865881388195242,0.2268747630233458,0.5065105930723104,0.3597133757961783,0.7101793737704217,True,False,0.1658278870388649,0.1058956058569338,0.3614125600471819,0.1684713375796157,0.1075460014154279,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.602904152661743,0.2152397605890091,0.5865881388195242,0.3616412173757874,0.3876643920727339,0.2249469214437367,0.5802620154020542,True,False,0.1658278870388649,0.1319344959057428,0.2043889706269879,0.1684713375796157,0.1355095541401265,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.602904152661743,0.4350394587500372,0.5865881388195242,0.5044756122802461,0.1678646939117058,0.0821125265392781,0.4891590043494673,True,False,0.1658278870388649,0.1560763672494659,0.0588050656830327,0.1684713375796157,0.1578556263269622,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.602904152661743,0.5637728324895577,0.5865881388195242,0.565675187651796,0.0391313201721853,0.0209129511677281,0.5344299930517834,True,False,0.1658278870388649,0.1632025164540593,0.0158319003617902,0.1684713375796157,0.1659235668789789,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.602904152661743,0.5399102795722442,0.5865881388195242,0.5506008776730273,0.0629938730894987,0.0359872611464968,0.5712819260274378,True,False,0.1658278870388649,0.1620888101297004,0.022547937961051,0.1684713375796157,0.1641188959660278,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.602904152661743,0.4706110957767217,0.5865881388195242,0.5080318755498852,0.1322930568850213,0.078556263269639,0.5938048837885266,True,False,0.1658278870388649,0.1562721989944617,0.0576241319541362,0.1684713375796157,0.1587048832271745,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.602904152661743,0.3463223936265191,0.5865881388195242,0.3861104318131548,0.2565817590352239,0.2004777070063694,0.7813404497661408,True,False,0.1658278870388649,0.1400069543819851,0.1557092303228115,0.1684713375796157,0.1421178343949034,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,1,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.602904152661743,0.0990461573240812,0.5865881388195242,0.1492739137664456,0.5038579953376617,0.4373142250530785,0.8679314987549444,True,False,0.1658278870388649,0.0896706925839407,0.4592544463711055,0.1684713375796157,0.0910739561217267,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6033079483411292,0.0964622988049581,0.5829257184373586,0.2056964190743013,0.5068456495361711,0.3772292993630573,0.7442685948044945,True,False,0.1616706512801923,0.1025669696080474,0.3655807730353724,0.1616595895258297,0.1035651096956826,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6033079483411292,0.215484086133095,0.5829257184373586,0.3459299647218596,0.3878238622080342,0.2369957537154989,0.6110912112684057,True,False,0.1616706512801923,0.1297924043673753,0.1971801725321721,0.1616595895258297,0.1288216560509547,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,minimum-perturbation KL,kl,2.0,kl_lam2.0,intervention,0.6033079483411292,0.4354287620390172,0.5829257184373586,0.4976284785222843,0.1678791863021119,0.0852972399150743,0.5080870463690189,True,False,0.1616706512801923,0.1539335512899025,0.0478571709152116,0.1616595895258297,0.1535208775654621,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,minimum-perturbation KL,kl,8.0,kl_lam8.0,intervention,0.6033079483411292,0.5641472647714693,0.5829257184373586,0.5628620241698427,0.0391606835696599,0.0200636942675159,0.5123427999367313,True,False,0.1616706512801923,0.160103440966344,0.0096938454904356,0.1616595895258297,0.1605980184005644,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,inverse-power,legacy,0.1,legacy_a0.1,intervention,0.6033079483411292,0.5402724050551676,0.5829257184373586,0.5482123426411802,0.0630355432859616,0.0347133757961783,0.5506952742312475,True,False,0.1616706512801923,0.1590921229852425,0.0159492664533209,0.1616595895258297,0.1588995046001398,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,inverse-power,legacy,0.2,legacy_a0.2,intervention,0.6033079483411292,0.4709132814066078,0.5829257184373586,0.500919349010607,0.1323946669345214,0.0820063694267516,0.61940840462486,True,False,0.1616706512801923,0.1549565864169587,0.0415292745471616,0.1616595895258297,0.1545824486907275,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,inverse-power,legacy,0.4,legacy_a0.4,intervention,0.6033079483411292,0.3461926610614728,0.5829257184373586,0.3691252938089084,0.2571152872796564,0.2138004246284501,0.831535249772628,True,False,0.1616706512801923,0.1367186384033686,0.1543385436951028,0.1616595895258297,0.1337048832271754,PRIMARY
lastfm,LastFM,ItemKNN,weighted_itemknn,2,inverse-power,legacy,0.8,legacy_a0.8,intervention,0.6033079483411292,0.0989226070934196,0.5829257184373586,0.1349427035753628,0.5043853412477096,0.4479830148619957,0.8881761189843659,True,False,0.1616706512801923,0.0866039540337081,0.4643186419555249,0.1616595895258297,0.086403043170559,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,minimum-perturbation KL,kl,0.1,kl_lam0.1,intervention,0.6032541089172111,0.0964756364316619,0.8710361218343863,0.8170021515583776,0.5067784724855492,0.0540339702760086,0.10662246565248365,True,False,0.1369545934669171,0.1386890235758946,0.0,0.1432855626326951,0.1436040339702745,PRIMARY
lastfm,LastFM,LightGCN,weighted_lightgcn,0,minimum-perturbation KL,kl,0.5,kl_lam0.5,intervention,0.6032541089172111,0.2157522024757692,0.8710361218343863,0.8418959944458512,0.3875019064414419,0.0291401273885351,0.0751999587721736,True,False,0.1369545934669171,0.1382530903326329,0.0,0.1432855626326951,0.1436040339702746,PRIMARY
