intervention_family,intervention_parameter,n,mean_InputGain,mean_OutputGain,median_realization_ratio,attenuation_rate,reversal_rate,mean_relative_NDCG_loss,mean_Recall_change
inverse-power,0.1,30,0.04892292312612732,0.012351236636222505,0.14333125138205638,0.9666666666666667,0.1,0.011134884864383448,-0.002018006946517844
inverse-power,0.2,30,0.10304632106473513,0.023147452017588332,0.09860050041415969,1.0,0.16666666666666666,0.0226353915997818,-0.003948420807166819
inverse-power,0.4,30,0.21038649789324648,0.05905751165692928,0.13395104827762577,1.0,0.1,0.06339804315492054,-0.009626768062399035
inverse-power,0.8,30,0.436487394799599,0.15053658920923604,0.1822221338010614,0.9666666666666667,0.06666666666666667,0.20530710166394306,-0.030556666828874687
minimum-perturbation KL,0.1,30,0.4610672189872448,0.14081469806757882,0.1406021687930665,1.0,0.06666666666666667,0.1969739136354711,-0.02826903317620923
minimum-perturbation KL,0.5,30,0.348610945284026,0.07495378181784096,0.07414227578220411,1.0,0.13333333333333333,0.11650304587585573,-0.01656635824046213
minimum-perturbation KL,2.0,30,0.1389462539585574,0.023628926178424443,0.08494642977183493,1.0,0.16666666666666666,0.031811895330952834,-0.004999004909777572
minimum-perturbation KL,8.0,30,0.030421574139061037,0.0069017690621820315,0.12048392990198736,0.9666666666666667,0.16666666666666666,0.0073994344865963724,-0.0010641996361871093
