dataset,dataset_name,model,model_raw,n,mean_InputGain,mean_OutputGain,median_OutputGain,Fout_Fin_slope,Fout_Fin_slope_ci_low,Fout_Fin_slope_ci_high,spearman_rho_Fin_Fout,attenuation_n,attenuation_rate,reversal_n,reversal_rate,mean_relative_NDCG_loss,mean_NDCG10_baseline
lastfm,LastFM,BPR,weighted_bpr,48,0.2222361411565746,0.07184871735509847,0.039025609609480705,0.49679589129597235,0.2512384552622093,0.727406018070747,0.6279852366478506,48,1.0,1,0.020833333333333332,0.11615828896266178,
lastfm,LastFM,ItemKNN,weighted_itemknn,48,0.2222361411565746,0.16760667913146562,0.1013446679748018,0.7536429286831112,0.5515119926695029,0.9711674214840567,0.6500217108119843,47,0.9791666666666666,0,0.0,0.1383305238160871,
lastfm,LastFM,LightGCN,weighted_lightgcn,48,0.2222361411565746,0.022978296523998968,0.01606788079470195,0.1404425103650275,0.07964519805675736,0.19053225865942872,0.6124620060790275,48,1.0,0,0.0,0.00020691660806493957,
lastfm,LastFM,NGCF,weighted_ngcf,48,0.2222361411565746,0.004824017985089179,0.0019353988273505501,0.11074823637741649,-0.039405874300891056,0.2405821473410831,0.4062092922275293,48,1.0,20,0.4166666666666667,0.029939368663737004,
lastfm,LastFM,NeuMF,weighted_neumf,48,0.2222361411565746,0.03986226690809926,0.013572983099729749,0.3141643325088965,0.043722032071404966,0.5749966078640445,0.5397307859313939,46,0.9583333333333334,8,0.16666666666666666,0.12484222108188973,
