dataset,dataset_name,model,model_raw,n,mean_InputGain,mean_OutputGain,median_OutputGain,Fout_Fin_slope,Fout_Fin_slope_ci_low,Fout_Fin_slope_ci_high,spearman_rho_Fin_Fout,attenuation_n,attenuation_rate,reversal_n,reversal_rate,mean_relative_NDCG_loss,mean_NDCG10_baseline
lastfm,LastFM,BPR,weighted_bpr,120,0.2573134578157203,0.05370090233545645,0.01780785562632685,0.24634074324530852,0.04321093355186936,0.46246797619916924,0.4021882360329328,120,1.0,6,0.05,0.08099952725528071,
ml1m,MovieLens-1M,BPR,weighted_bpr,120,0.1871588244974289,0.06914708882604416,0.0255215231788079,0.41174537720839705,0.2644881043281298,0.557032069306151,0.41551415023621274,117,0.975,23,0.19166666666666668,0.0827914003976955,
