scope,n,mean_InputGain,median_InputGain,mean_OutputGain,median_OutputGain,spearman_rho,spearman_p,kendall_tau,kendall_p,gain_slope_beta1,gain_slope_intercept_beta0,gain_slope_ci_low_95,gain_slope_ci_high_95,gain_space_R2,n_OutputGain_positive,rate_OutputGain_positive,n_OutputGain_zero,n_OutputGain_negative,authoritative_note
inverse-power,120,0.19971078422092695,0.14798193897556386,0.06127319737999404,0.02441624669276125,0.5042401142336241,4.316414550367272e-09,0.3527580953858731,1.8881235809022858e-08,-0.003279253098477535,0.32322966799359965,0.18255936013001034,0.4759653385300608,0.26061215380177283,107,0.8916666666666667,0,13,Gain-space descriptive; frozen M0-M2 use F_out~F_in (see TABLE_RQ2_REGRESSION)
minimum-perturbation KL,120,0.24476149809222225,0.23862128854867626,0.06157479378150657,0.0192812073789738,0.5085148081512433,3.0372988182816596e-09,0.3521882115484161,1.9899912048779054e-08,-0.004979344144783207,0.2719142448671118,0.17872307756980435,0.3775058635218046,0.22069873520006644,104,0.8666666666666667,1,15,Gain-space descriptive; frozen M0-M2 use F_out~F_in (see TABLE_RQ2_REGRESSION)
