intervention_family,intervention_parameter,InputGain,OutputGain,realization_ratio,relative_NDCG_loss,dataset,model
inverse-power,0.2,0.1322930568850213,0.0075902335456474,0.05737439079848486,0.0282195438644177,lastfm,NGCF
inverse-power,0.4,0.2565817590352239,0.0177813163481952,0.06930078122098367,0.0652365083917867,lastfm,NGCF
inverse-power,0.8,0.5038579953376617,0.0322186836518045,0.0639439761796636,0.1299218970768141,lastfm,NGCF
minimum-perturbation KL,0.1,0.5068456495361711,0.0193736730360934,0.038224009723320705,0.0920700742155775,lastfm,NGCF
minimum-perturbation KL,0.5,0.3878238622080342,0.0164012738853503,0.04229052279550665,0.0706498168188397,lastfm,NGCF
minimum-perturbation KL,2.0,0.1678791863021119,0.0086518046709129,0.0515358982938081,0.0234446189798951,lastfm,NGCF
minimum-perturbation KL,8.0,0.0391606835696599,0.0024416135881103,0.062348594701292774,0.0074825741791788,lastfm,NGCF
inverse-power,0.1,0.0630355432859616,0.0043524416135881,0.06904741970483524,0.0055657095649148,lastfm,NGCF
inverse-power,0.2,0.1323946669345214,0.0096602972399151,0.07296590915321993,0.011968413008585,lastfm,NGCF
inverse-power,0.4,0.2571152872796564,0.0192144373673036,0.07473082433408422,0.0423997703474057,lastfm,NGCF
inverse-power,0.8,0.5043853412477096,0.0211783439490446,0.04198842079084861,0.0960062695544505,lastfm,NGCF
minimum-perturbation KL,0.1,0.4155275210377668,0.2895198675496688,0.6967525684618966,0.3662182513052315,ml1m,BPR
minimum-perturbation KL,0.5,0.3097073730832871,0.1379966887417217,0.44557120926085075,0.2330950906451829,ml1m,BPR
minimum-perturbation KL,2.0,0.1101299941890081,0.0322682119205298,0.29300112252026655,0.0667164988619407,ml1m,BPR
minimum-perturbation KL,8.0,0.0216676015058061,0.0202649006622516,0.935262754247228,0.0164136688992184,ml1m,BPR
inverse-power,0.1,0.0347782591090517,0.014503311258278,0.41702234757642714,0.0232435711239276,ml1m,BPR
inverse-power,0.2,0.0736462085067679,0.0386669304716154,0.5250362680661559,0.0509598995510818,ml1m,BPR
inverse-power,0.4,0.1634067766214311,0.0949748774914828,0.5812174957193708,0.1263371459946755,ml1m,BPR
inverse-power,0.8,0.3685994817315625,0.2755874602729399,0.7476610085785204,0.3571058328718489,ml1m,BPR
minimum-perturbation KL,0.1,0.4152754099525115,0.2648344370860928,0.6377320465865718,0.3737661208986327,ml1m,BPR
