model,N,realization_slope_beta1_Fin_Fout,slope_ci_low_95,slope_ci_high_95,mean_InputGain,mean_OutputGain,attenuation_rate,reversal_rate,spearman_rho_Fin_Fout
BPR,48,0.4967958912959727,0.25123845526220995,0.727406018070745,0.2222361411565746,0.07184871735509847,1.0,0.020833333333333332,0.6279852366478506
ItemKNN,48,0.7536429286831113,0.5515119926695023,0.9711674214840567,0.2222361411565746,0.16760667913146562,0.9791666666666666,0.0,0.6500217108119843
LightGCN,48,0.140442510365027,0.07964519805675725,0.19053225865942766,0.2222361411565746,0.022978296523998968,1.0,0.0,0.6124620060790275
NGCF,48,0.11074823637741618,-0.03940587430089004,0.24058214734108302,0.2222361411565746,0.004824017985089179,1.0,0.4166666666666667,0.4062092922275293
NeuMF,48,0.31416433250889714,0.04372203207140469,0.5749966078640457,0.2222361411565746,0.03986226690809926,0.9583333333333334,0.16666666666666666,0.5397307859313939
