dataset,model,seed,family,label,strength,InputGain,OutputGain,TransferGap,UtilityChange,l_exp_mean,Tail,NDCG@10,l_exp_0,Tail_0,l_exp_change,Tail_change
ml1m,BPR,2,kl,kl_lam8.0,8.0,0.0216757730450404,-0.0041059602649007,0.0257817333099411,-0.0030739910320964,0.7594410163696033,0.0023675496688741,0.2531567640681896,0.7568595345837568,0.0020033112582781,0.0025814817858464956,0.0003642384105959997
ml1m,NGCF,0,kl,kl_lam0.1,0.1,0.4155275210377668,-0.0108689172265821,0.4263964382643489,0.0003442985306886,0.7647412493278333,0.0001986754966887,0.2564066014339417,0.7546123719756966,0.0003807947019867,0.010128877352136634,-0.000182119205298
ml1m,NGCF,0,kl,kl_lam0.5,0.5,0.3097073730832871,-0.0018046357615892,0.3115120088448763,0.0013091909669953,0.7581874232926074,0.0002483443708609,0.2573714938702484,0.7546123719756966,0.0003807947019867,0.0035750513169107156,-0.0001324503311258
ml1m,NGCF,0,kl,kl_lam2.0,2.0,0.1101299941890081,-0.0127563344451252,0.12288632863413329,-0.0015097504895336,0.7668108438125829,0.0001490066225165,0.2545525524137194,0.7546123719756966,0.0003807947019867,0.012198471836886271,-0.0002317880794702
ml1m,NGCF,1,kl,kl_lam0.5,0.5,0.3093633907952406,-0.0002980132450329,0.30966140404027354,0.0007907591885113,0.7474794955668264,0.0005298013245033,0.2550550141902005,0.7489850640545808,0.0006456953642384,-0.001505568487754405,-0.00011589403973510004
ml1m,NGCF,1,kl,kl_lam2.0,2.0,0.1099903482838854,-0.0012582781456952,0.1112486264295806,0.0005861165462986,0.7516994427939268,0.0005298013245033,0.2548503715479878,0.7489850640545808,0.0006456953642384,0.0027143787393459906,-0.00011589403973510004
ml1m,NGCF,1,kl,kl_lam8.0,8.0,0.0216863022513934,-0.0003476821192052,0.0220339843705986,-0.0019037749586529,0.7481081656861817,0.0005794701986754,0.2523604800430362,0.7489850640545808,0.0006456953642384,-0.0008768983683991038,-6.622516556299999e-05
ml1m,NGCF,2,kl,kl_lam0.1,0.1,0.4154656678391594,-0.0096523178807946,0.425117985719954,0.0037011913897838,0.7595291170990268,0.0002649006622516,0.2556404342202359,0.7430603502948601,0.0009602649006622,0.016468766804166757,-0.0006953642384106
ml1m,NGCF,2,kl,kl_lam0.5,0.5,0.3096047471034181,-0.0036920529801324,0.31329680008355054,0.0042648704506769,0.7504422097445856,0.0003476821192052,0.2562041132811291,0.7430603502948601,0.0009602649006622,0.007381859449725581,-0.000612582781457
ml1m,NGCF,2,kl,kl_lam2.0,2.0,0.1100876450201697,-0.0031291390728476,0.1132167840930173,0.0011410941635989,0.7480424586025721,0.0006622516556291,0.2530803369940511,0.7430603502948601,0.0009602649006622,0.004982108307712063,-0.0002980132450331
ml1m,NGCF,2,kl,kl_lam8.0,8.0,0.0216757730450404,-0.0059602649006621,0.0276360379457025,0.0020955669688925,0.752328604197893,0.0004470198675496,0.2540348097993447,0.7430603502948601,0.0009602649006622,0.009268253903032986,-0.0005132450331126
