dataset,model,model_raw,seed,label,family,user_group,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std
lastfm,bpr,weighted_bpr,0,baseline,baseline,niche,0.8717261430658088,0.0,0.8397986790408258,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.1311223713000332,465,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,0,baseline,baseline,semi_niche,0.8717261430658088,0.0,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,0,baseline,baseline,semi_mainstream,0.8717261430658088,0.0,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,0,baseline,baseline,mainstream,0.8717261430658088,0.0,0.9000170135541318,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,3.3306690738754696e-16,473,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,niche,0.7866942959320508,0.085031847133758,0.6232309410080925,0.6999943288152894,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.23750878695079652,465,0.21656773803273333,0.200022684738842,0.0,0.0,0.0,-0.10638641565076332
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,semi_niche,0.7866942959320508,0.085031847133758,0.8767605761300197,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.07996268288357711,473,0.023256437424112097,0.0,0.0,0.0,0.0,-0.07996268288357677
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,semi_mainstream,0.7866942959320508,0.085031847133758,0.8989599311017004,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.013753451135129461,473,0.0010570824524314126,0.0,0.0,0.0,0.0,-0.013753451135129128
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,mainstream,0.7866942959320508,0.085031847133758,0.899171371571826,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.018372046455859686,473,0.0008456419823057448,0.0,0.0,0.0,0.0,-0.018372046455859353
lastfm,bpr,weighted_bpr,0,kl_lam0.5,kl,niche,0.8366942959320507,0.035031847133758,0.717860853519397,0.8000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.2246282153692433,465,0.12193782552142884,0.10000000000000009,0.0,0.0,0.0,-0.09350584406921009
lastfm,bpr,weighted_bpr,0,kl_lam0.5,kl,semi_niche,0.8366942959320507,0.035031847133758,0.8974800156682965,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.019342009321746605,473,0.0025369978858352793,0.0,0.0,0.0,0.0,-0.019342009321746272
