dataset,model,model_raw,seed,label,family,F_out,OutputGain,l_exp_mean,l_exp_median,l_exp_p75,l_exp_p90,l_exp_p95,l_exp_std,n_users,delta_l_exp_mean,delta_l_exp_median,delta_l_exp_p75,delta_l_exp_p90,delta_l_exp_p95,delta_l_exp_std,delta_F_out
lastfm,bpr,weighted_bpr,0,baseline,baseline,0.8717261430658088,0.0,0.8851542080611978,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.07012577592992013,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,bpr,weighted_bpr,0,kl_lam0.1,kl,0.7866942959320508,0.085031847133758,0.8253854810206159,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.17069128797142258,1884,0.05976872704058189,0.0,0.0,0.0,0.0,-0.10056551204150245,0.085031847133758
lastfm,bpr,weighted_bpr,0,kl_lam0.5,kl,0.8366942959320507,0.035031847133758,0.854421146029635,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.13660112890571857,1884,0.030733062031562786,0.0,0.0,0.0,0.0,-0.06647535297579844,0.035031847133758065
lastfm,bpr,weighted_bpr,0,kl_lam2.0,kl,0.8600488606878895,0.0116772823779192,0.8753344192869408,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.09205017541361028,1884,0.009819788774257043,0.0,0.0,0.0,0.0,-0.021924399483690155,0.011677282377919207
lastfm,bpr,weighted_bpr,0,kl_lam8.0,kl,0.8685945082462758,0.0031316348195329,0.8835617520372618,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.07311303171047831,1884,0.0015924560239359842,0.0,0.0,0.0,0.0,-0.0029872557805581818,0.0031316348195329358
lastfm,bpr,weighted_bpr,0,legacy_a0.1,legacy,0.8660467375456389,0.0056794055201698,0.8816508638081249,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.07594307921014423,1884,0.003503344253072971,0.0,0.0,0.0,0.0,-0.005817303280224104,0.005679405520169878
lastfm,bpr,weighted_bpr,0,legacy_a0.2,legacy,0.8604734891379955,0.0112526539278132,0.8769797943274428,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.08706571592597089,1884,0.008174413733755048,0.0,0.0,0.0,0.0,-0.016939939996050757,0.011252653927813272
lastfm,bpr,weighted_bpr,0,legacy_a0.4,legacy,0.8461422789469126,0.0255838641188961,0.8666290363693919,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.10515304072398683,1884,0.018525171691805897,0.0,0.0,0.0,0.0,-0.035027264794066704,0.025583864118896127
lastfm,bpr,weighted_bpr,0,legacy_a0.8,legacy,0.7601550178004158,0.1115711252653929,0.8259678912211386,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.15048658897756284,1884,0.05918631684005926,0.0,0.0,0.0,0.0,-0.08036081304764271,0.11157112526539292
lastfm,bpr,weighted_bpr,1,baseline,baseline,0.8705053362717535,0.0,0.8836148366138911,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.9000170135541314,0.07854966262965218,1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
